date,frequency,date_int
2014-01-04 19:45:00,0,20140104194500
2014-01-04 20:00:00,0,20140104200000
2014-01-04 20:15:00,0,20140104201500
2014-01-04 20:30:00,0,20140104203000
2014-01-04 20:45:00,0,20140104204500
2014-01-04 21:00:00,0,20140104210000
2014-01-04 21:15:00,0,20140104211500
2014-01-04 21:30:00,0,20140104213000
2014-01-04 21:45:00,0,20140104214500
2014-01-04 22:00:00,0,20140104220000
2014-01-04 22:15:00,0,20140104221500
2014-01-04 22:30:00,0,20140104223000
2014-01-04 22:45:00,0,20140104224500
2014-01-04 23:00:00,0,20140104230000
2014-01-04 23:15:00,0,20140104231500
2014-01-04 23:30:00,0,20140104233000
2014-01-04 23:45:00,0,20140104234500
2014-01-05 00:00:00,0,20140105000000
2014-01-05 00:15:00,0,20140105001500
2014-01-05 00:30:00,0,20140105003000
2014-01-05 00:45:00,0,20140105004500
2014-01-05 01:00:00,0,20140105010000
2014-01-05 01:15:00,0,20140105011500
2014-01-05 01:30:00,0,20140105013000
2014-01-05 01:45:00,0,20140105014500
2014-01-05 02:00:00,0,20140105020000
2014-01-05 02:15:00,0,20140105021500
2014-01-05 02:30:00,0,20140105023000
2014-01-05 02:45:00,0,20140105024500
2014-01-05 03:00:00,0,20140105030000
2014-01-05 03:15:00,0,20140105031500
2014-01-05 03:30:00,0,20140105033000
2014-01-05 03:45:00,0,20140105034500
2014-01-05 04:00:00,0,20140105040000
2014-01-05 04:15:00,0,20140105041500
2014-01-05 04:30:00,0,20140105043000
2014-01-05 04:45:00,0,20140105044500
2014-01-05 05:00:00,0,20140105050000
2014-01-05 05:15:00,0,20140105051500
2014-01-05 05:30:00,0,20140105053000
2014-01-05 05:45:00,0,20140105054500
2014-01-05 06:00:00,0,20140105060000
2014-01-05 06:15:00,0,20140105061500
2014-01-05 06:30:00,0,20140105063000
2014-01-05 06:45:00,0,20140105064500
2014-01-05 07:00:00,0,20140105070000
2014-01-05 07:15:00,0,20140105071500
2014-01-05 07:30:00,0,20140105073000
2014-01-05 07:45:00,0,20140105074500
2014-01-05 08:00:00,0,20140105080000
2014-01-05 08:15:00,0,20140105081500
2014-01-05 08:30:00,0,20140105083000
2014-01-05 08:45:00,0,20140105084500
2014-01-05 09:00:00,0,20140105090000
2014-01-05 09:15:00,2,20140105091500
2014-01-05 09:30:00,0,20140105093000
2014-01-05 09:45:00,0,20140105094500
2014-01-05 10:00:00,0,20140105100000
2014-01-05 10:15:00,0,20140105101500
2014-01-05 10:30:00,2,20140105103000
2014-01-05 10:45:00,4,20140105104500
2014-01-05 11:00:00,2,20140105110000
2014-01-05 11:15:00,8,20140105111500
2014-01-05 11:30:00,8,20140105113000
2014-01-05 11:45:00,3,20140105114500
2014-01-05 12:00:00,2,20140105120000
2014-01-05 12:15:00,0,20140105121500
2014-01-05 12:30:00,0,20140105123000
2014-01-05 12:45:00,4,20140105124500
2014-01-05 13:00:00,4,20140105130000
2014-01-05 13:15:00,0,20140105131500
2014-01-05 13:30:00,2,20140105133000
2014-01-05 13:45:00,0,20140105134500
2014-01-05 14:00:00,0,20140105140000
2014-01-05 14:15:00,2,20140105141500
2014-01-05 14:30:00,2,20140105143000
2014-01-05 14:45:00,0,20140105144500
2014-01-05 15:00:00,5,20140105150000
2014-01-05 15:15:00,0,20140105151500
2014-01-05 15:30:00,4,20140105153000
2014-01-05 15:45:00,6,20140105154500
2014-01-05 16:00:00,0,20140105160000
2014-01-05 16:15:00,2,20140105161500
2014-01-05 16:30:00,0,20140105163000
2014-01-05 16:45:00,0,20140105164500
2014-01-05 17:00:00,0,20140105170000
2014-01-05 17:15:00,0,20140105171500
2014-01-05 17:30:00,0,20140105173000
2014-01-05 17:45:00,0,20140105174500
2014-01-05 18:00:00,0,20140105180000
2014-01-05 18:15:00,0,20140105181500
2014-01-05 18:30:00,0,20140105183000
2014-01-05 18:45:00,0,20140105184500
2014-01-05 19:00:00,0,20140105190000
2014-01-05 19:15:00,0,20140105191500
2014-01-05 19:30:00,0,20140105193000
2014-01-05 19:45:00,0,20140105194500
2014-01-05 20:00:00,0,20140105200000
2014-01-05 20:15:00,0,20140105201500
2014-01-05 20:30:00,0,20140105203000
2014-01-05 20:45:00,0,20140105204500
2014-01-05 21:00:00,0,20140105210000
2014-01-05 21:15:00,0,20140105211500
2014-01-05 21:30:00,0,20140105213000
2014-01-05 21:45:00,0,20140105214500
2014-01-05 22:00:00,0,20140105220000
2014-01-05 22:15:00,0,20140105221500
2014-01-05 22:30:00,0,20140105223000
2014-01-05 22:45:00,0,20140105224500
2014-01-05 23:00:00,0,20140105230000
2014-01-05 23:15:00,0,20140105231500
2014-01-05 23:30:00,0,20140105233000
2014-01-05 23:45:00,0,20140105234500
2014-01-06 00:00:00,0,20140106000000
2014-01-06 00:15:00,0,20140106001500
2014-01-06 00:30:00,0,20140106003000
2014-01-06 00:45:00,0,20140106004500
2014-01-06 01:00:00,0,20140106010000
2014-01-06 01:15:00,0,20140106011500
2014-01-06 01:30:00,0,20140106013000
2014-01-06 01:45:00,0,20140106014500
2014-01-06 02:00:00,0,20140106020000
2014-01-06 02:15:00,0,20140106021500
2014-01-06 02:30:00,0,20140106023000
2014-01-06 02:45:00,0,20140106024500
2014-01-06 03:00:00,0,20140106030000
2014-01-06 03:15:00,0,20140106031500
2014-01-06 03:30:00,0,20140106033000
2014-01-06 03:45:00,0,20140106034500
2014-01-06 04:00:00,0,20140106040000
2014-01-06 04:15:00,0,20140106041500
2014-01-06 04:30:00,0,20140106043000
2014-01-06 04:45:00,0,20140106044500
2014-01-06 05:00:00,0,20140106050000
2014-01-06 05:15:00,0,20140106051500
2014-01-06 05:30:00,0,20140106053000
2014-01-06 05:45:00,0,20140106054500
2014-01-06 06:00:00,0,20140106060000
2014-01-06 06:15:00,0,20140106061500
2014-01-06 06:30:00,0,20140106063000
2014-01-06 06:45:00,0,20140106064500
2014-01-06 07:00:00,0,20140106070000
2014-01-06 07:15:00,0,20140106071500
2014-01-06 07:30:00,0,20140106073000
2014-01-06 07:45:00,0,20140106074500
2014-01-06 08:00:00,0,20140106080000
2014-01-06 08:15:00,0,20140106081500
2014-01-06 08:30:00,0,20140106083000
2014-01-06 08:45:00,0,20140106084500
2014-01-06 09:00:00,0,20140106090000
2014-01-06 09:15:00,0,20140106091500
2014-01-06 09:30:00,2,20140106093000
2014-01-06 09:45:00,0,20140106094500
2014-01-06 10:00:00,2,20140106100000
2014-01-06 10:15:00,0,20140106101500
2014-01-06 10:30:00,0,20140106103000
2014-01-06 10:45:00,0,20140106104500
2014-01-06 11:00:00,4,20140106110000
2014-01-06 11:15:00,2,20140106111500
2014-01-06 11:30:00,10,20140106113000
2014-01-06 11:45:00,4,20140106114500
2014-01-06 12:00:00,14,20140106120000
2014-01-06 12:15:00,4,20140106121500
2014-01-06 12:30:00,14,20140106123000
2014-01-06 12:45:00,7,20140106124500
2014-01-06 13:00:00,2,20140106130000
2014-01-06 13:15:00,0,20140106131500
2014-01-06 13:30:00,4,20140106133000
2014-01-06 13:45:00,2,20140106134500
2014-01-06 14:00:00,2,20140106140000
2014-01-06 14:15:00,0,20140106141500
2014-01-06 14:30:00,0,20140106143000
2014-01-06 14:45:00,4,20140106144500
2014-01-06 15:00:00,2,20140106150000
2014-01-06 15:15:00,0,20140106151500
2014-01-06 15:30:00,5,20140106153000
2014-01-06 15:45:00,0,20140106154500
2014-01-06 16:00:00,3,20140106160000
2014-01-06 16:15:00,3,20140106161500
2014-01-06 16:30:00,4,20140106163000
2014-01-06 16:45:00,4,20140106164500
2014-01-06 17:00:00,0,20140106170000
2014-01-06 17:15:00,2,20140106171500
2014-01-06 17:30:00,0,20140106173000
2014-01-06 17:45:00,0,20140106174500
2014-01-06 18:00:00,0,20140106180000
2014-01-06 18:15:00,0,20140106181500
2014-01-06 18:30:00,0,20140106183000
2014-01-06 18:45:00,0,20140106184500
2014-01-06 19:00:00,0,20140106190000
2014-01-06 19:15:00,0,20140106191500
2014-01-06 19:30:00,0,20140106193000
2014-01-06 19:45:00,0,20140106194500
2014-01-06 20:00:00,0,20140106200000
2014-01-06 20:15:00,0,20140106201500
2014-01-06 20:30:00,0,20140106203000
2014-01-06 20:45:00,0,20140106204500
2014-01-06 21:00:00,0,20140106210000
2014-01-06 21:15:00,0,20140106211500
2014-01-06 21:30:00,0,20140106213000
2014-01-06 21:45:00,0,20140106214500
2014-01-06 22:00:00,0,20140106220000
2014-01-06 22:15:00,0,20140106221500
2014-01-06 22:30:00,0,20140106223000
2014-01-06 22:45:00,0,20140106224500
2014-01-06 23:00:00,0,20140106230000
2014-01-06 23:15:00,0,20140106231500
2014-01-06 23:30:00,0,20140106233000
2014-01-06 23:45:00,0,20140106234500
2014-01-07 00:00:00,0,20140107000000
2014-01-07 00:15:00,0,20140107001500
2014-01-07 00:30:00,0,20140107003000
2014-01-07 00:45:00,0,20140107004500
2014-01-07 01:00:00,0,20140107010000
2014-01-07 01:15:00,0,20140107011500
2014-01-07 01:30:00,0,20140107013000
2014-01-07 01:45:00,0,20140107014500
2014-01-07 02:00:00,0,20140107020000
2014-01-07 02:15:00,0,20140107021500
2014-01-07 02:30:00,0,20140107023000
2014-01-07 02:45:00,0,20140107024500
2014-01-07 03:00:00,0,20140107030000
2014-01-07 03:15:00,0,20140107031500
2014-01-07 03:30:00,0,20140107033000
2014-01-07 03:45:00,0,20140107034500
2014-01-07 04:00:00,0,20140107040000
2014-01-07 04:15:00,0,20140107041500
2014-01-07 04:30:00,0,20140107043000
2014-01-07 04:45:00,0,20140107044500
2014-01-07 05:00:00,0,20140107050000
2014-01-07 05:15:00,0,20140107051500
2014-01-07 05:30:00,0,20140107053000
2014-01-07 05:45:00,0,20140107054500
2014-01-07 06:00:00,0,20140107060000
2014-01-07 06:15:00,0,20140107061500
2014-01-07 06:30:00,0,20140107063000
2014-01-07 06:45:00,0,20140107064500
2014-01-07 07:00:00,0,20140107070000
2014-01-07 07:15:00,0,20140107071500
2014-01-07 07:30:00,0,20140107073000
2014-01-07 07:45:00,0,20140107074500
2014-01-07 08:00:00,0,20140107080000
2014-01-07 08:15:00,0,20140107081500
2014-01-07 08:30:00,0,20140107083000
2014-01-07 08:45:00,0,20140107084500
2014-01-07 09:00:00,0,20140107090000
2014-01-07 09:15:00,0,20140107091500
2014-01-07 09:30:00,0,20140107093000
2014-01-07 09:45:00,0,20140107094500
2014-01-07 10:00:00,0,20140107100000
2014-01-07 10:15:00,2,20140107101500
2014-01-07 10:30:00,0,20140107103000
2014-01-07 10:45:00,0,20140107104500
2014-01-07 11:00:00,3,20140107110000
2014-01-07 11:15:00,3,20140107111500
2014-01-07 11:30:00,0,20140107113000
2014-01-07 11:45:00,2,20140107114500
2014-01-07 12:00:00,2,20140107120000
2014-01-07 12:15:00,2,20140107121500
2014-01-07 12:30:00,0,20140107123000
2014-01-07 12:45:00,0,20140107124500
2014-01-07 13:00:00,5,20140107130000
2014-01-07 13:15:00,5,20140107131500
2014-01-07 13:30:00,1,20140107133000
2014-01-07 13:45:00,6,20140107134500
2014-01-07 14:00:00,2,20140107140000
2014-01-07 14:15:00,1,20140107141500
2014-01-07 14:30:00,0,20140107143000
2014-01-07 14:45:00,2,20140107144500
2014-01-07 15:00:00,0,20140107150000
2014-01-07 15:15:00,3,20140107151500
2014-01-07 15:30:00,4,20140107153000
2014-01-07 15:45:00,0,20140107154500
2014-01-07 16:00:00,0,20140107160000
2014-01-07 16:15:00,0,20140107161500
2014-01-07 16:30:00,0,20140107163000
2014-01-07 16:45:00,0,20140107164500
2014-01-07 17:00:00,0,20140107170000
2014-01-07 17:15:00,0,20140107171500
2014-01-07 17:30:00,0,20140107173000
2014-01-07 17:45:00,0,20140107174500
2014-01-07 18:00:00,0,20140107180000
2014-01-07 18:15:00,0,20140107181500
2014-01-07 18:30:00,0,20140107183000
2014-01-07 18:45:00,0,20140107184500
2014-01-07 19:00:00,0,20140107190000
2014-01-07 19:15:00,0,20140107191500
2014-01-07 19:30:00,0,20140107193000
2014-01-07 19:45:00,0,20140107194500
2014-01-07 20:00:00,0,20140107200000
2014-01-07 20:15:00,0,20140107201500
2014-01-07 20:30:00,0,20140107203000
2014-01-07 20:45:00,0,20140107204500
2014-01-07 21:00:00,0,20140107210000
2014-01-07 21:15:00,0,20140107211500
2014-01-07 21:30:00,0,20140107213000
2014-01-07 21:45:00,0,20140107214500
2014-01-07 22:00:00,0,20140107220000
2014-01-07 22:15:00,0,20140107221500
2014-01-07 22:30:00,0,20140107223000
2014-01-07 22:45:00,0,20140107224500
2014-01-07 23:00:00,0,20140107230000
2014-01-07 23:15:00,0,20140107231500
2014-01-07 23:30:00,0,20140107233000
2014-01-07 23:45:00,0,20140107234500
2014-01-08 00:00:00,0,20140108000000
2014-01-08 00:15:00,0,20140108001500
2014-01-08 00:30:00,0,20140108003000
2014-01-08 00:45:00,0,20140108004500
2014-01-08 01:00:00,0,20140108010000
2014-01-08 01:15:00,0,20140108011500
2014-01-08 01:30:00,0,20140108013000
2014-01-08 01:45:00,0,20140108014500
2014-01-08 02:00:00,0,20140108020000
2014-01-08 02:15:00,0,20140108021500
2014-01-08 02:30:00,0,20140108023000
2014-01-08 02:45:00,0,20140108024500
2014-01-08 03:00:00,0,20140108030000
2014-01-08 03:15:00,0,20140108031500
2014-01-08 03:30:00,0,20140108033000
2014-01-08 03:45:00,0,20140108034500
2014-01-08 04:00:00,0,20140108040000
2014-01-08 04:15:00,0,20140108041500
2014-01-08 04:30:00,0,20140108043000
2014-01-08 04:45:00,0,20140108044500
2014-01-08 05:00:00,0,20140108050000
2014-01-08 05:15:00,0,20140108051500
2014-01-08 05:30:00,0,20140108053000
2014-01-08 05:45:00,0,20140108054500
2014-01-08 06:00:00,0,20140108060000
2014-01-08 06:15:00,0,20140108061500
2014-01-08 06:30:00,0,20140108063000
2014-01-08 06:45:00,0,20140108064500
2014-01-08 07:00:00,0,20140108070000
2014-01-08 07:15:00,0,20140108071500
2014-01-08 07:30:00,0,20140108073000
2014-01-08 07:45:00,0,20140108074500
2014-01-08 08:00:00,0,20140108080000
2014-01-08 08:15:00,0,20140108081500
2014-01-08 08:30:00,0,20140108083000
2014-01-08 08:45:00,0,20140108084500
2014-01-08 09:00:00,0,20140108090000
2014-01-08 09:15:00,0,20140108091500
2014-01-08 09:30:00,1,20140108093000
2014-01-08 09:45:00,3,20140108094500
2014-01-08 10:00:00,0,20140108100000
2014-01-08 10:15:00,0,20140108101500
2014-01-08 10:30:00,0,20140108103000
2014-01-08 10:45:00,6,20140108104500
2014-01-08 11:00:00,0,20140108110000
2014-01-08 11:15:00,0,20140108111500
2014-01-08 11:30:00,0,20140108113000
2014-01-08 11:45:00,2,20140108114500
2014-01-08 12:00:00,2,20140108120000
2014-01-08 12:15:00,0,20140108121500
2014-01-08 12:30:00,10,20140108123000
2014-01-08 12:45:00,0,20140108124500
2014-01-08 13:00:00,2,20140108130000
2014-01-08 13:15:00,0,20140108131500
2014-01-08 13:30:00,0,20140108133000
2014-01-08 13:45:00,0,20140108134500
2014-01-08 14:00:00,0,20140108140000
2014-01-08 14:15:00,0,20140108141500
2014-01-08 14:30:00,0,20140108143000
2014-01-08 14:45:00,1,20140108144500
2014-01-08 15:00:00,4,20140108150000
2014-01-08 15:15:00,0,20140108151500
2014-01-08 15:30:00,0,20140108153000
2014-01-08 15:45:00,0,20140108154500
2014-01-08 16:00:00,0,20140108160000
2014-01-08 16:15:00,0,20140108161500
2014-01-08 16:30:00,7,20140108163000
2014-01-08 16:45:00,1,20140108164500
2014-01-08 17:00:00,0,20140108170000
2014-01-08 17:15:00,0,20140108171500
2014-01-08 17:30:00,0,20140108173000
2014-01-08 17:45:00,0,20140108174500
2014-01-08 18:00:00,0,20140108180000
2014-01-08 18:15:00,1,20140108181500
2014-01-08 18:30:00,0,20140108183000
2014-01-08 18:45:00,0,20140108184500
2014-01-08 19:00:00,0,20140108190000
2014-01-08 19:15:00,0,20140108191500
2014-01-08 19:30:00,0,20140108193000
