,date,frequency,date_time,date_int
190,2014-01-10 08:00:00,0,2014-01-10 08:00:00,20140110080000
191,2014-01-10 09:00:00,0,2014-01-10 09:00:00,20140110090000
192,2014-01-10 10:00:00,0,2014-01-10 10:00:00,20140110100000
193,2014-01-10 11:00:00,10,2014-01-10 11:00:00,20140110110000
194,2014-01-10 12:00:00,4,2014-01-10 12:00:00,20140110120000
195,2014-01-10 13:00:00,0,2014-01-10 13:00:00,20140110130000
196,2014-01-10 14:00:00,5,2014-01-10 14:00:00,20140110140000
197,2014-01-10 15:00:00,18,2014-01-10 15:00:00,20140110150000
198,2014-01-10 16:00:00,0,2014-01-10 16:00:00,20140110160000
199,2014-01-10 17:00:00,0,2014-01-10 17:00:00,20140110170000
200,2014-01-10 18:00:00,0,2014-01-10 18:00:00,20140110180000
201,2014-01-10 19:00:00,0,2014-01-10 19:00:00,20140110190000
202,2014-01-10 20:00:00,0,2014-01-10 20:00:00,20140110200000
203,2014-01-10 21:00:00,0,2014-01-10 21:00:00,20140110210000
204,2014-01-10 22:00:00,0,2014-01-10 22:00:00,20140110220000
205,2014-01-10 23:00:00,0,2014-01-10 23:00:00,20140110230000
206,2014-01-11 00:00:00,0,2014-01-11 00:00:00,20140111000000
207,2014-01-11 01:00:00,0,2014-01-11 01:00:00,20140111010000
208,2014-01-11 02:00:00,0,2014-01-11 02:00:00,20140111020000
209,2014-01-11 03:00:00,0,2014-01-11 03:00:00,20140111030000
210,2014-01-11 04:00:00,0,2014-01-11 04:00:00,20140111040000
211,2014-01-11 05:00:00,0,2014-01-11 05:00:00,20140111050000
212,2014-01-11 06:00:00,0,2014-01-11 06:00:00,20140111060000
213,2014-01-11 07:00:00,0,2014-01-11 07:00:00,20140111070000
214,2014-01-11 08:00:00,0,2014-01-11 08:00:00,20140111080000
215,2014-01-11 09:00:00,0,2014-01-11 09:00:00,20140111090000
216,2014-01-11 10:00:00,0,2014-01-11 10:00:00,20140111100000
217,2014-01-11 11:00:00,0,2014-01-11 11:00:00,20140111110000
218,2014-01-11 12:00:00,6,2014-01-11 12:00:00,20140111120000
219,2014-01-11 13:00:00,6,2014-01-11 13:00:00,20140111130000
220,2014-01-11 14:00:00,11,2014-01-11 14:00:00,20140111140000
221,2014-01-11 15:00:00,9,2014-01-11 15:00:00,20140111150000
222,2014-01-11 16:00:00,8,2014-01-11 16:00:00,20140111160000
223,2014-01-11 17:00:00,0,2014-01-11 17:00:00,20140111170000
224,2014-01-11 18:00:00,2,2014-01-11 18:00:00,20140111180000
225,2014-01-11 19:00:00,0,2014-01-11 19:00:00,20140111190000
226,2014-01-11 20:00:00,0,2014-01-11 20:00:00,20140111200000
227,2014-01-11 21:00:00,0,2014-01-11 21:00:00,20140111210000
